app_temp,azimuth,clouds,datetime,dewpt,dhi,dni,elev_angle,ghi,h_angle,pod,precip,pres,revision_status,rh,slp,snow,solar_rad,temp,timestamp_local,timestamp_utc,ts,uv,vis,wind_dir,wind_gust_spd,wind_spd,code,clouds_hi,clouds_low,clouds_mid,ozone,pop,snow_depth,wind_cdir,wind_cdir_full
36.0,276.7,92,2024-06-12:09,12.4,95.0,789.0,33.7,527.0,,d,0.25,949.0,interim,23,1000.0,0,152.0,37.0,2024-06-12T17:00:00,2024-06-12T09:00:00,1718182800,1.3,16,200,2.1,2.0,804,,,,,,,,
35.7,284.0,91,2024-06-12:10,12.8,77.0,676.0,21.6,319.0,,d,0.0,950.0,interim,24,997.0,0,100.0,36.6,2024-06-12T18:00:00,2024-06-12T10:00:00,1718186400,0.9,16,190,3.1,3.03,804,,,,,,,,
34.3,291.5,93,2024-06-12:11,13.8,50.0,460.0,9.8,120.0,,d,0.0,947.0,interim,28,999.0,0,81.0,35.0,2024-06-12T19:00:00,2024-06-12T11:00:00,1718190000,0.7,16,210,2.1,2.0,804,,,,,,,,
33.2,299.6,42,2024-06-12:12,15.0,0.0,0.0,-1.4,0.0,,n,0.5,949.0,interim,33,997.0,0,0.0,33.5,2024-06-12T20:00:00,2024-06-12T12:00:00,1718193600,0.0,16,200,2.6,2.16,803,,,,,,,,
31.9,308.9,81,2024-06-12:13,15.9,0.0,0.0,-11.6,0.0,,n,0.0,948.0,interim,38,1000.0,0,0.0,32.0,2024-06-12T21:00:00,2024-06-12T13:00:00,1718197200,0.0,16,230,2.1,2.0,804,,,,,,,,
28.5,319.9,100,2024-06-12:14,16.9,0.0,0.0,-20.4,0.0,,n,0.0,947.0,interim,51,1000.0,0,0.0,28.0,2024-06-12T22:00:00,2024-06-12T14:00:00,1718200800,0.0,16,240,2.1,2.0,804,,,,,,,,
27.4,333.0,83,2024-06-12:15,15.7,0.0,0.0,-27.3,0.0,,n,0.0,948.0,interim,50,1001.0,0,0.0,27.0,2024-06-12T23:00:00,2024-06-12T15:00:00,1718204400,0.0,16,250,2.1,2.0,804,,,,,,,,
26.1,348.1,100,2024-06-12:16,16.8,0.0,0.0,-31.4,0.0,,n,0.0,948.0,interim,57,1001.0,0,0.0,26.0,2024-06-13T00:00:00,2024-06-12T16:00:00,1718208000,0.0,16,240,2.1,2.0,804,,,,,,,,
26.1,4.3,100,2024-06-12:17,16.8,0.0,0.0,-32.2,0.0,,n,0.0,948.0,interim,57,1001.0,0,0.0,26.0,2024-06-13T01:00:00,2024-06-12T17:00:00,1718211600,0.0,16,260,2.1,2.0,804,,,,,,,,
24.3,20.1,100,2024-06-12:18,18.0,0.0,0.0,-29.6,0.0,,n,0.0,965.0,interim,69,1013.0,0,0.0,24.0,2024-06-13T02:00:00,2024-06-12T18:00:00,1718215200,0.0,16,270,1.0,1.0,804,,,,,,,,
24.5,34.2,100,2024-06-12:19,17.3,0.0,0.0,-24.0,0.0,,n,0.0,949.0,interim,65,999.0,0,0.0,24.3,2024-06-13T03:00:00,2024-06-12T19:00:00,1718218800,0.0,16,300,1.5,1.15,804,,,,,,,,
24.3,46.1,93,2024-06-12:20,18.0,0.0,0.0,-16.0,0.0,,n,0.0,947.0,interim,69,1001.0,0,0.0,24.0,2024-06-13T04:00:00,2024-06-12T20:00:00,1718222400,0.0,16,200,1.0,1.0,804,,,,,,,,
24.2,56.2,25,2024-06-12:21,17.5,0.0,0.0,-6.3,0.0,,n,0.0,949.0,interim,67,1000.0,0,0.0,24.0,2024-06-13T05:00:00,2024-06-12T21:00:00,1718226000,0.0,16,340,1.5,1.15,802,,,,,,,,
23.3,64.8,25,2024-06-12:22,17.9,31.0,263.0,4.4,43.0,,d,0.0,947.0,interim,73,1001.0,0,41.0,23.0,2024-06-13T06:00:00,2024-06-12T22:00:00,1718229600,1.5,16,0,1.0,1.0,802,,,,,,,,
