Actual AQI,Predicted AQI
65.0,66.75937
79.0,90.511925
54.0,57.278755
65.0,53.644703
219.0,201.50732
93.0,95.24852
187.0,131.1044
112.0,122.06106
158.0,149.22568
156.0,154.26492
153.0,130.30124
181.0,179.45276
148.0,147.57413
109.0,111.848076
227.0,220.01974
142.0,143.63007
103.0,100.41887
188.0,190.76213
245.0,241.25497
500.0,379.5271
74.0,74.650475
98.0,93.60396
151.0,147.06784
79.0,81.075516
185.0,175.0911
184.0,186.87987
43.0,48.54482
94.0,90.85964
107.0,135.5049
106.0,102.312126
38.0,59.663723
223.0,194.64034
121.0,131.19478
112.0,111.677055
49.0,59.586193
175.0,150.98856
75.0,89.6435
80.0,81.434326
85.0,87.34811
102.0,115.31808
81.0,84.48473
91.0,118.69482
143.0,137.37589
90.0,80.17185
257.0,205.47849
89.0,94.625595
107.0,111.2102
55.0,47.442005
71.0,72.745224
69.0,79.86637
75.0,79.343506
82.0,81.34281
65.0,207.25508
199.0,230.21016
91.0,99.647804
76.0,80.736855
112.0,141.64877
177.0,160.07715
114.0,119.42736
37.0,64.045364
51.0,63.857616
30.0,38.563015
168.0,154.16623
90.0,90.78127
87.0,69.91921
63.0,72.87864
129.0,133.42381
82.0,84.981476
76.0,88.81337
68.0,62.518833
203.0,179.95921
206.0,204.85252
54.0,50.79758
173.0,153.37302
94.0,83.47576
69.0,81.64558
200.0,192.76582
91.0,86.19055
94.0,99.619835
47.0,57.186016
69.0,75.11096
93.0,83.406715
42.0,102.95049
221.0,548.7234
169.0,161.27579
61.0,57.319935
59.0,59.85712
123.0,114.95351
208.0,191.69626
62.0,70.87658
235.0,224.00125
102.0,104.322205
57.0,57.10777
162.0,200.05765
143.0,131.733
100.0,95.142845
153.0,159.5813
156.0,161.95718
63.0,188.88918
31.0,41.184925
82.0,82.71927
500.0,584.71814
106.0,107.849045
168.0,156.1356
211.0,225.32347
259.0,200.11026
94.0,91.91665
68.0,70.14148
157.0,203.6824
91.0,104.968025
236.0,225.48688
153.0,136.6774
253.0,228.40195
119.0,126.60581
172.0,157.64317
51.0,52.03683
173.0,160.71188
107.0,106.14675
204.0,195.9242
142.0,147.34702
126.0,126.08427
180.0,192.30927
110.0,97.951294
232.0,239.60152
150.0,147.71683
125.0,116.068
223.0,186.56752
141.0,124.8321
76.0,86.61702
58.0,54.232693
188.0,181.18152
107.0,98.30191
87.0,109.038506
226.0,204.53256
189.0,199.57816
179.0,134.63364
168.0,208.09705
59.0,60.962307
124.0,133.88025
131.0,136.83244
37.0,63.33654
51.0,56.113907
61.0,57.316692
129.0,125.18066
92.0,111.902855
165.0,183.98389
184.0,163.57751
178.0,171.45105
55.0,58.647495
130.0,140.3465
68.0,67.20084
180.0,175.91876
46.0,44.995583
51.0,52.41537
119.0,119.76513
156.0,140.97679
123.0,100.67532
168.0,148.5546
59.0,60.349247
138.0,128.03572
118.0,113.584656
88.0,87.74366
180.0,188.81572
117.0,124.644005
112.0,89.23802
224.0,209.08545
153.0,66.66013
87.0,84.87855
50.0,59.858437
269.0,196.9674
106.0,118.20213
59.0,74.342926
54.0,48.88335
194.0,186.03772
253.0,245.17471
161.0,171.66727
153.0,130.40442
100.0,104.285286
164.0,163.03441
53.0,81.08164
44.0,49.157032
225.0,211.8057
91.0,111.85457
177.0,189.01726
221.0,221.147
59.0,62.571922
123.0,109.20071
168.0,156.27063
93.0,111.44793
139.0,138.71185
171.0,145.65189
197.0,197.6625
90.0,92.43285
122.0,119.53124
87.0,92.42359
61.0,71.59609
59.0,65.55794
219.0,209.33846
80.0,72.92148
46.0,48.426987
425.0,335.23782
96.0,101.4119
203.0,208.02902
59.0,54.362614
85.0,101.60819
33.0,89.14547
87.0,85.924095
215.0,202.70003
84.0,88.20403
253.0,246.79048
87.0,92.747
67.0,68.778915
151.0,148.76593
274.0,230.90619
155.0,165.16133
136.0,130.08434
90.0,98.62226
50.0,57.49262
185.0,184.56505
191.0,207.99976
82.0,87.75958
208.0,223.67729
61.0,60.46144
72.0,80.21248
65.0,68.56054
383.0,233.89148
80.0,88.72768
53.0,55.64367
