app_temp,azimuth,clouds,datetime,dewpt,dhi,dni,elev_angle,ghi,h_angle,pod,precip,pres,revision_status,rh,slp,snow,solar_rad,temp,timestamp_local,timestamp_utc,ts,uv,vis,wind_dir,wind_gust_spd,wind_spd,code,clouds_hi,clouds_low,clouds_mid,ozone,pop,snow_depth,wind_cdir,wind_cdir_full
28.2,95.8,92,2024-06-18:02,18.8,112.0,880.0,52.5,804.0,,d,0.25,953.0,interim,61,1006.0,0,218.0,27.0,2024-06-18T10:00:00,2024-06-18T02:00:00,1718676000,2.6,16.0,30,4.4,4.0,804,,,,,,,,
30.2,108.7,52,2024-06-18:03,18.7,119.0,912.0,64.6,935.0,,d,0.0,965.0,interim,54,1013.0,0,796.0,29.0,2024-06-18T11:00:00,2024-06-18T03:00:00,1718679600,6.0,16.0,50,1.0,1.0,803,,,,,,,,
31.2,135.2,4,2024-06-18:04,18.8,123.0,929.0,75.2,1012.0,,d,0.0,952.0,interim,51,1005.0,0,960.0,30.0,2024-06-18T12:00:00,2024-06-18T04:00:00,1718683200,10.6,16.0,90,3.2,3.0,801,,,,,,,,
33.5,197.2,2,2024-06-18:05,18.9,124.0,932.0,78.5,1028.0,,d,0.0,953.0,interim,46,1005.0,0,975.0,32.0,2024-06-18T13:00:00,2024-06-18T05:00:00,1718686800,11.1,16.0,0,1.0,1.0,801,,,,,,,,
32.8,240.9,24,2024-06-18:06,17.8,121.0,922.0,70.3,982.0,,d,0.0,952.0,interim,43,1004.0,0,928.0,32.0,2024-06-18T14:00:00,2024-06-18T06:00:00,1718690400,8.6,16.0,70,3.2,3.0,802,,,,,,,,
33.8,258.4,0,2024-06-18:07,17.6,116.0,899.0,58.7,877.0,,d,0.0,951.0,interim,40,1003.0,0,836.0,33.0,2024-06-18T15:00:00,2024-06-18T07:00:00,1718694000,8.2,16.0,0,3.2,3.0,800,,,,,,,,
33.8,268.8,86,2024-06-18:08,17.0,108.0,858.0,46.4,722.0,,d,0.0,951.0,interim,38,999.0,0,300.0,33.3,2024-06-18T16:00:00,2024-06-18T08:00:00,1718697600,2.4,16.0,200,2.6,2.16,804,,,,,,,,
34.5,276.8,0,2024-06-18:09,16.8,95.0,791.0,34.1,533.0,,d,0.0,949.0,interim,36,1001.0,0,509.0,34.0,2024-06-18T17:00:00,2024-06-18T09:00:00,1718701200,3.7,16.0,160,3.2,3.0,800,,,,,,,,
33.9,284.1,1,2024-06-18:10,16.2,78.0,680.0,21.9,325.0,,d,0.0,950.0,interim,35,998.0,0,311.0,33.8,2024-06-18T18:00:00,2024-06-18T10:00:00,1718704800,2.4,16.0,160,2.88,2.88,800,,,,,,,,
34.0,291.5,0,2024-06-18:11,15.9,51.0,469.0,10.1,126.0,,d,0.0,948.0,interim,34,1000.0,0,121.0,34.0,2024-06-18T19:00:00,2024-06-18T11:00:00,1718708400,1.8,16.0,140,2.1,2.0,800,,,,,,,,
33.0,299.6,92,2024-06-18:12,15.9,0.0,0.0,-1.0,0.0,,n,0.0,948.0,interim,36,1000.0,0,0.0,33.0,2024-06-18T20:00:00,2024-06-18T12:00:00,1718712000,0.0,16.0,70,3.2,3.0,804,,,,,,,,
31.4,308.9,25,2024-06-18:13,17.0,0.0,0.0,-11.2,0.0,,n,0.0,948.0,interim,43,1000.0,0,0.0,31.0,2024-06-18T21:00:00,2024-06-18T13:00:00,1718715600,0.0,16.0,30,3.2,3.0,802,,,,,,,,
30.7,319.8,25,2024-06-18:14,17.8,0.0,0.0,-20.1,0.0,,n,0.0,948.0,interim,48,1001.0,0,0.0,30.0,2024-06-18T22:00:00,2024-06-18T14:00:00,1718719200,0.0,16.0,30,2.1,2.0,802,,,,,,,,
31.7,332.8,91,2024-06-18:15,17.7,0.0,0.0,-27.0,0.0,,n,0.0,950.0,interim,45,1002.0,0,0.0,31.0,2024-06-18T23:00:00,2024-06-18T15:00:00,1718722800,0.0,16.0,100,4.4,4.0,804,,,,,,,,
30.7,347.8,89,2024-06-18:16,17.8,0.0,0.0,-31.2,0.0,,n,0.0,949.0,interim,48,1002.0,0,0.0,30.0,2024-06-19T00:00:00,2024-06-18T16:00:00,1718726400,0.0,16.0,130,3.2,3.0,804,,,,,,,,
29.8,4.0,93,2024-06-18:17,17.8,0.0,0.0,-32.0,0.0,,n,0.0,948.0,interim,51,1001.0,0,0.0,29.0,2024-06-19T01:00:00,2024-06-18T17:00:00,1718730000,0.0,16.0,130,3.2,3.0,804,,,,,,,,
27.9,19.7,81,2024-06-18:18,17.8,0.0,0.0,-29.5,0.0,,n,0.0,949.0,interim,57,1002.0,0,0.0,27.0,2024-06-19T02:00:00,2024-06-18T18:00:00,1718733600,0.0,16.0,30,3.2,3.0,804,,,,,,,,
27.9,33.8,25,2024-06-18:19,17.8,0.0,0.0,-23.9,0.0,,n,0.0,948.0,interim,57,1001.0,0,0.0,27.0,2024-06-19T03:00:00,2024-06-18T19:00:00,1718737200,0.0,16.0,70,3.2,3.0,802,,,,,,,,
25.3,45.8,95,2024-06-18:20,18.0,0.0,0.0,-16.0,0.0,,n,0.0,948.0,interim,65,1001.0,0,0.0,25.0,2024-06-19T04:00:00,2024-06-18T20:00:00,1718740800,0.0,16.0,60,4.4,4.0,804,,,,,,,,
25.2,55.8,25,2024-06-18:21,18.1,0.0,0.0,-6.4,0.0,,n,0.0,951.0,interim,66,1001.0,0,0.0,24.9,2024-06-19T05:00:00,2024-06-18T21:00:00,1718744400,0.0,16.0,20,2.6,2.6,802,,,,,,,,
25.1,64.4,94,2024-06-18:22,17.0,31.0,257.0,4.3,41.0,,d,0.0,948.0,interim,61,1002.0,0,40.0,25.0,2024-06-19T06:00:00,2024-06-18T22:00:00,1718748000,0.6,16.0,40,3.2,3.0,804,,,,,,,,
25.5,72.2,25,2024-06-18:23,17.5,66.0,592.0,15.8,220.0,,d,0.0,951.0,interim,62,1001.0,0,208.0,25.3,2024-06-19T07:00:00,2024-06-18T23:00:00,1718751600,1.7,16.0,50,3.32,3.32,802,,,,,,,,
